Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Nidda;Stadt;Wetteraukreis;18.519;18.372;16.864;17.299
Niddatal;Stadt;Wetteraukreis;8.732;8.923;9.310;9.470
Nidderau;Stadt;Main-Kinzig-Kreis;17.945;19.922;19.853;19.964
Niedenstein;Stadt;Schwalm-Eder-Kreis;5.508;5.668;5.253;5.311
Niederaula;Marktgemeinde;Hersfeld-Rotenburg;5.521;5.677;5.476;5.377
Niederdorfelden;Gemeinde;Main-Kinzig-Kreis;3.013;2.942;3.723;3.816
Niedernhausen;Gemeinde;Rheingau-Taunus-Kreis;14.332;14.854;14.410;14.544
Nieste;Gemeinde;Kassel;1.478;1.711;1.844;1.929
Niestetal;Gemeinde;Kassel;10.333;10.364;10.364;10.940
Nüsttal;Gemeinde;Fulda;2.671;2.815;2.878;2.801
Oberaula;Gemeinde;Schwalm-Eder-Kreis;3.782;3.553;3.266;3.169
Ober-Mörlen;Gemeinde;Wetteraukreis;5.730;5.947;5.760;5.720
Ober-Ramstadt;Stadt;Darmstadt-Dieburg;15.409;15.391;14.545;15.029
Obertshausen;Stadt;Offenbach;24.170;24.676;23.785;24.443
Oberursel (Taunus);Stadt;Hochtaunuskreis;40.951;42.362;44.088;45.723
Oberweser;Gemeinde;Kassel;3.862;3.766;3.343;3.269
Oestrich-Winkel;Stadt;Rheingau-Taunus-Kreis;11.927;11.989;11.451;11.632
Offenbach am Main;Kreisfreie Stadt;Offenbach am Main;116.533;118.429;113.443;123.734
Ortenberg;Stadt;Wetteraukreis;9.276;9.367;8.950;9.091
Ottrau;Gemeinde;Schwalm-Eder-Kreis;2.642;2.571;2.289;2.242
Otzberg;Gemeinde;Darmstadt-Dieburg;6.350;6.321;6.309;6.360
Petersberg;Gemeinde;Fulda;14.240;14.347;14.766;15.344
Pfungstadt;Stadt;Darmstadt-Dieburg;24.882;25.111;23.829;24.548
