Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Sellessen - Weskow (Zelezna - Wjaska);Siedlung;Spree-Neiße;1.840
Senftenberg;Siedlung;Oberspreewald-Lausitz;17.900
Siedlung Wusterwitz;Siedlung;Potsdam-Mittelmark;2.200
Siethen;Siedlung;Teltow-Fläming;580
Sieversdorf;Siedlung;Ostprignitz-Ruppin;550
Skadow (Skódow);Siedlung;Cottbus;500
Sommerfeld;Siedlung;Oberhavel;1.290
Sonnewalde;Siedlung;Elbe-Elster;890
Sperenberg;Siedlung;Teltow-Fläming;1.240
Spreenhagen;Siedlung;Oder-Spree;1.250
Spremberg (Grodk);Siedlung;Spree-Neiße;15.600
Stahnsdorf;Siedlung;Potsdam-Mittelmark;12.000
Stechow;Siedlung;Havelland;570
Steckelsdorf;Siedlung;Havelland;540
Stienitzaue;Siedlung;Barnim;600
Stolpe;Siedlung;Oberhavel;580
Stolpe-Süd;Siedlung;Oberhavel;680
Storkow (Mark);Siedlung;Oder-Spree;4.860
Straupitz (T_upc);Siedlung;Dahme-Spreewald;1.000
Strausberg;Siedlung;Märkisch-Oderland;23.400
Strausberg-Gartenstadt;Siedlung;Märkisch-Oderland;540
Summt;Siedlung;Oberhavel;760
Tauer (Turjej);Siedlung;Spree-Neiße;670
Teltow;Siedlung;Potsdam-Mittelmark;22.400
Templin;Siedlung;Uckermark;11.200
Teschendorf;Siedlung;Oberhavel;760
Tettau;Siedlung;Oberspreewald-Lausitz;830
Teupitz;Siedlung;Dahme-Spreewald;1.000
Thalberg;Siedlung;Elbe-Elster;550
Thyrow;Siedlung;Teltow-Fläming;1.350
Tieckow;Siedlung;Potsdam-Mittelmark;500
Töpchin;Siedlung;Dahme-Spreewald;730
Töplitz;Siedlung;Potsdam-Mittelmark;1.550
Trattendorf (Dubrawa);Siedlung;Spree-Neiße;1.750
Trebbin;Siedlung;Teltow-Fläming;4.040
Tremmen;Siedlung;Havelland;720
Treskow;Siedlung;Ostprignitz-Ruppin;1.520
Treuenbrietzen;Siedlung;Potsdam-Mittelmark;4.500
Tröbitz;Siedlung;Elbe-Elster;690
Tschernitz;Siedlung;Spree-Neiße;1.260
Turnow;Siedlung;Spree-Neiße;740
Uebigau;Siedlung;Elbe-Elster;1.620
Vehlefanz;Siedlung;Oberhavel;1.660
Velten;Siedlung;Oberhavel;11.300
