Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Friedlos;Siedlung;Hersfeld-Rotenburg;1.930
Friedrichsdorf;Siedlung;Hochtaunuskreis;15.100
Friedrichsthal;Siedlung;Hochtaunuskreis;580
Frielendorf;Siedlung;Schwalm-Eder-Kreis;2.520
Frischborn;Siedlung;Vogelsbergkreis;890
Fritzlar;Siedlung;Schwalm-Eder-Kreis;8.380
Frohnhausen;Siedlung;Lahn-Dill-Kreis;3.780
Fronhausen;Siedlung;Marburg-Biedenkopf;2.260
Froschhausen;Siedlung;Offenbach;3.560
Fulda;Siedlung;Fulda;56.100
Fürstengrund;Siedlung;Odenwaldkreis;670
Fürstenhagen;Siedlung;Werra-Meißner-Kreis;1.910
Fürstenwald;Siedlung;Kassel;990
Fürth;Siedlung;Bergstraße;5.900
Fussingen;Siedlung;Limburg-Weilburg;660
Gadern;Siedlung;Bergstraße;550
Gadernheim;Siedlung;Bergstraße;1.600
Gambach;Siedlung;Wetteraukreis;3.150
Garbenheim;Siedlung;Lahn-Dill-Kreis;2.040
Gaudernbach;Siedlung;Limburg-Weilburg;790
Gedern;Siedlung;Wetteraukreis;3.900
Geilshausen;Siedlung;Gießen;750
Geinsheim (Geinsheim am Rhein);Siedlung;Groß-Gerau;4.250
Geisenheim;Siedlung;Rheingau-Taunus-Kreis;6.000
Geislitz;Siedlung;Main-Kinzig-Kreis;1.300
Geismar;Siedlung;Schwalm-Eder-Kreis;930
Geismar;Siedlung;Waldeck-Frankenberg;920
Geiß-Nidda;Siedlung;Wetteraukreis;930
Gelnhaar;Siedlung;Wetteraukreis;920
Gelnhausen;Siedlung;Main-Kinzig-Kreis;11.900
Gemünden;Siedlung;Hochtaunuskreis;500
Gemünden (Wohra);Siedlung;Waldeck-Frankenberg;2.810
Gensungen;Siedlung;Schwalm-Eder-Kreis;2.920
Georgenborn;Siedlung;Rheingau-Taunus-Kreis;1.690
Germerode;Siedlung;Werra-Meißner-Kreis;820
Gernsheim;Siedlung;Groß-Gerau;8.660
Gersfeld (Rhön);Siedlung;Fulda;2.410
Gertenbach;Siedlung;Werra-Meißner-Kreis;860
Giesel;Siedlung;Fulda;990
Gieselwerder;Siedlung;Kassel;1.220
Gießen;Siedlung;Gießen;63.400
Giflitz;Siedlung;Waldeck-Frankenberg;790
Gilsa;Siedlung;Schwalm-Eder-Kreis;520
Gilserberg;Siedlung;Schwalm-Eder-Kreis;940
Ginseldorf;Siedlung;Marburg-Biedenkopf;760
Ginsheim;Siedlung;Groß-Gerau;8.680
Gisselberg;Siedlung;Marburg-Biedenkopf;830
Gladenbach;Siedlung;Marburg-Biedenkopf;4.890
Glashütten;Siedlung;Hochtaunuskreis;1.930
Glashütten;Siedlung;Wetteraukreis;620
Glauberg;Siedlung;Wetteraukreis;1.270
Göbelnrod;Siedlung;Gießen;620
Goddelau;Siedlung;Groß-Gerau;5.590
Goddelsheim;Siedlung;Waldeck-Frankenberg;1.300
Gondsroth;Siedlung;Main-Kinzig-Kreis;1.060
Gönnern;Siedlung;Marburg-Biedenkopf;1.480
Gonterskirchen;Siedlung;Gießen;590
Görsroth;Siedlung;Rheingau-Taunus-Kreis;2.170
Gorxheimertal (Gorxheim - Trösel - Unterflockenbach);Siedlung;Bergstraße;4.060
