Name;Status;Kreis;Einwohner;Einwohner;Einwohner;Einwohner
;;;Schätzung;Schätzung;Zensus;Schätzung
;;;31.12.95;31.12.01;09.05.11;31.12.15
Mühlenbecker Land;Gemeinde;Oberhavel;6.765;10.956;13.933;14.795
Mühlenberge;Gemeinde;Havelland;858;825;731;720
Mühlenfließ;Gemeinde;Potsdam-Mittelmark;1.024;1.001;943;921
Müllrose;Stadt;Oder-Spree;3.140;4.290;4.389;4.566
Müncheberg;Stadt;Märkisch-Oderland;8.003;7.834;6.837;6.783
Münchehofe;Gemeinde;Dahme-Spreewald;569;560;487;469
Nauen;Stadt;Havelland;16.329;16.851;16.385;16.943
Neiße-Malxetal;Gemeinde;Spree-Neiße;1.842;1.943;1.756;1.657
Neißemünde;Gemeinde;Oder-Spree;1.843;1.903;1.729;1.610
Nennhausen;Gemeinde;Havelland;2.134;2.150;1.945;1.901
Neuenhagen bei Berlin;Gemeinde;Märkisch-Oderland;11.802;15.257;16.751;17.593
Neuhardenberg;Gemeinde;Märkisch-Oderland;4.143;3.094;2.496;2.715
Neuhausen/Spree;Gemeinde;Spree-Neiße;4.745;5.940;5.189;4.997
Neulewin;Gemeinde;Märkisch-Oderland;1.244;1.138;951;921
Neupetershain;Gemeinde;Oberspreewald-Lausitz;1.940;1.797;1.372;1.254
Neuruppin;Stadt;Ostprignitz-Ruppin;32.795;32.375;30.328;30.715
Neu-Seeland;Gemeinde;Oberspreewald-Lausitz;1.157;1.153;641;585
Neustadt (Dosse);Stadt;Ostprignitz-Ruppin;4.084;4.044;3.541;3.435
Neutrebbin;Gemeinde;Märkisch-Oderland;1.612;1.673;1.499;1.409
Neu Zauche;Gemeinde;Dahme-Spreewald;1.332;1.285;1.149;1.119
Neuzelle;Gemeinde;Oder-Spree;4.418;4.616;4.443;4.302
Niederer Fläming;Gemeinde;Teltow-Fläming;4.400;3.945;3.247;3.160
Niederfinow;Gemeinde;Barnim;634;682;589;619
Niedergörsdorf;Gemeinde;Teltow-Fläming;7.450;7.316;6.162;6.084
Niemegk;Stadt;Potsdam-Mittelmark;2.408;2.350;2.041;2.006
Nordwestuckermark;Gemeinde;Uckermark;5.546;5.429;4.593;4.288
Nuthetal;Gemeinde;Potsdam-Mittelmark;5.724;8.567;8.577;8.930
Nuthe-Urstromtal;Gemeinde;Teltow-Fläming;7.148;7.293;6.521;6.703
Oberbarnim;Gemeinde;Märkisch-Oderland;1.393;1.454;1.408;1.380
Oberkrämer;Gemeinde;Oberhavel;6.759;9.813;10.413;10.876
Oberuckersee;Gemeinde;Uckermark;1.867;1.956;1.727;1.698
Oderaue;Gemeinde;Märkisch-Oderland;1.976;1.944;1.721;1.605
Oderberg;Stadt;Barnim;2.884;2.647;2.233;2.199
Oranienburg;Stadt;Oberhavel;37.577;40.403;41.269;43.526
Ortrand;Stadt;Oberspreewald-Lausitz;2.739;2.601;2.271;2.154
Panketal;Gemeinde;Barnim;11.066;16.822;18.886;20.131
Parsteinsee;Gemeinde;Barnim;625;597;552;556
Passow;Gemeinde;Uckermark;1.774;1.801;1.559;1.473
Paulinenaue;Gemeinde;Havelland;1.511;1.346;1.198;1.238
Päwesin;Gemeinde;Potsdam-Mittelmark;620;579;542;531
Peitz;Stadt;Spree-Neiße;6.377;5.266;4.504;4.445
Perleberg;Stadt;Prignitz;14.596;13.720;12.244;12.204
Pessin;Gemeinde;Havelland;750;689;664;650
Petershagen/Eggersdorf;Gemeinde;Märkisch-Oderland;8.974;11.904;13.890;14.520
Pinnow;Gemeinde;Uckermark;780;925;905;853
Pirow;Gemeinde;Prignitz;613;546;483;460
Planebruch;Gemeinde;Potsdam-Mittelmark;1.150;1.192;1.108;1.042
Planetal;Gemeinde;Potsdam-Mittelmark;1.081;1.088;976;959
Plattenburg;Gemeinde;Prignitz;4.693;4.165;3.604;3.413
Plessa;Gemeinde;Elbe-Elster;3.648;3.414;2.882;2.713
Podelzig;Gemeinde;Märkisch-Oderland;899;1.000;915;855
Potsdam;Kreisfreie Stadt;Potsdam;144.118;141.907;156.021;167.745
Premnitz;Stadt;Havelland;11.945;10.828;8.654;8.422
Prenzlau;Stadt;Uckermark;24.012;22.225;19.296;19.275
Pritzwalk;Stadt;Prignitz;14.874;14.088;12.356;11.922
Prötzel;Gemeinde;Märkisch-Oderland;1.179;1.275;1.011;998
Putlitz;Stadt;Prignitz;3.422;3.209;2.794;2.737
Rabenstein/Fläming;Gemeinde;Potsdam-Mittelmark;1.080;990;862;820
Ragow-Merz;Gemeinde;Oder-Spree;475;564;522;516
Randowtal;Gemeinde;Uckermark;1.251;1.158;1.011;932
Rangsdorf;Gemeinde;Teltow-Fläming;6.297;8.581;10.394;10.848
Rathenow;Stadt;Havelland;30.498;28.476;24.462;24.387
Rauen;Gemeinde;Oder-Spree;1.612;1.876;1.962;1.979
Rehfelde;Gemeinde;Märkisch-Oderland;3.045;4.245;4.524;4.789
Reichenow-Möglin;Gemeinde;Märkisch-Oderland;617;681;576;549
Reichenwalde;Gemeinde;Oder-Spree;987;1.108;1.114;1.115
Reitwein;Gemeinde;Märkisch-Oderland;475;544;491;463
Retzow;Gemeinde;Havelland;588;600;562;518
Rheinsberg;Stadt;Ostprignitz-Ruppin;9.390;9.320;8.304;8.153
Rhinow;Stadt;Havelland;2.103;2.021;1.698;1.625
Rietz-Neuendorf;Gemeinde;Oder-Spree;4.515;4.582;4.232;4.124
Rietzneuendorf-Staakow;Gemeinde;Dahme-Spreewald;705;708;616;613
Röderland;Gemeinde;Elbe-Elster;5.145;5.011;4.271;3.957
Rosenau;Gemeinde;Potsdam-Mittelmark;1.077;1.040;949;933
Roskow;Gemeinde;Potsdam-Mittelmark;1.265;1.318;1.231;1.189
Rückersdorf;Gemeinde;Elbe-Elster;1.973;1.898;1.536;1.466
