Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Bubesheim;Siedlung;Günzburg;1.440
Buch;Siedlung;Neu-Ulm;1.430
Buch;Siedlung;Nürnberg;1.000
Buch;Siedlung;Erlangen-Höchstadt;570
Buch a. Buchrain;Siedlung;Erding;840
Buch a. Erlbach;Siedlung;Landshut;2.080
Buch am Ammersee;Siedlung;Starnberg;630
Buch am Forst;Siedlung;Lichtenfels;550
Buch a. Wald;Siedlung;Ansbach;550
Buchbach;Siedlung;Mühldorf a. Inn;1.900
Buchbach;Siedlung;Kronach;540
Buchberg;Siedlung;Neumarkt i.d. OPf.;720
Buchbrunn;Siedlung;Kitzingen;1.090
Buchdorf;Siedlung;Donau-Ries;1.540
Büchelkühn;Siedlung;Schwandorf;1.010
Büchenbach;Siedlung;Roth;3.690
Buchenberg;Siedlung;Oberallgäu;2.070
Buchenbühl;Siedlung;Nürnberg;2.220
Buchendorf;Siedlung;Starnberg;740
Buchenhain;Siedlung;München;1.290
Buchhofen;Siedlung;Deggendorf;530
Buching;Siedlung;Ostallgäu;780
Büchlberg;Siedlung;Passau;2.070
Buchloe;Siedlung;Ostallgäu;9.860
Büchold;Siedlung;Main-Spessart;650
Buchschwabach;Siedlung;Fürth;1.030
Buckenhof;Siedlung;Erlangen-Höchstadt;3.060
Buckenhofen - Burk;Siedlung;Forchheim;6.760
Bühl;Siedlung;Günzburg;1.740
Bühl am Alpsee;Siedlung;Oberallgäu;650
Burgau;Siedlung;Günzburg;8.730
Burgberg i. Allgäu;Siedlung;Oberallgäu;2.440
Burgbernheim;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;2.420
Burgebrach;Siedlung;Bamberg;3.320
Burggen;Siedlung;Weilheim-Schongau;1.370
Burggrafenhof;Siedlung;Fürth;560
Burggrub;Siedlung;Kronach;730
Burghaig - Seidenhof;Siedlung;Kulmbach;1.930
Burghaslach;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;1.290
Burghausen;Siedlung;Altötting;16.400
Burgheim;Siedlung;Neuburg-Schrobenhausen;2.580
Burgkirchen a.d. Alz;Siedlung;Altötting;4.860
Burgkunstadt;Siedlung;Lichtenfels;4.780
Burglauer;Siedlung;Rhön-Grabfeld;1.640
Bürglein;Siedlung;Ansbach;620
Burglengenfeld;Siedlung;Schwandorf;10.700
Burgoberbach;Siedlung;Ansbach;2.360
Burgpreppach;Siedlung;Haßberge;500
Burgrain;Siedlung;Garmisch-Partenkirchen;1.920
Burgsalach;Siedlung;Weißenburg-Gunzenhausen;680
Burgsinn;Siedlung;Main-Spessart;2.520
Bürgstadt;Siedlung;Miltenberg;4.300
Burgthann;Siedlung;Nürnberger Land;3.540
Burgwindheim;Siedlung;Bamberg;740
Burk;Siedlung;Ansbach;850
Burkardroth;Siedlung;Bad Kissingen;2.150
Burlafingen;Siedlung;Neu-Ulm;4.320
Burtenbach;Siedlung;Günzburg;2.230
Buttenheim;Siedlung;Bamberg;1.930
Buttenwiesen;Siedlung;Dillingen a.d. Donau;3.060
Bütthard;Siedlung;Würzburg;740
Buxheim;Siedlung;Eichstätt;2.540
Buxheim;Siedlung;Unterallgäu;3.020
Cadolzburg;Siedlung;Fürth;5.370
Castell;Siedlung;Kitzingen;510
Cham;Siedlung;Cham;6.960
Chamerau;Siedlung;Cham;1.380
Chammünster;Siedlung;Cham;1.150
Chieming;Siedlung;Traunstein;2.020
Coburg;Siedlung;Coburg Stadt;37.300
Colmberg;Siedlung;Ansbach;1.280
Creußen;Siedlung;Bayreuth;2.430
Dachau;Siedlung;Dachau;42.200
Dachsbach;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;960
Daiting;Siedlung;Donau-Ries;510
Dammbach (Krausenbach - Wintersbach);Siedlung;Aschaffenburg;1.720
Dankenfeld;Siedlung;Haßberge;550
Dasing;Siedlung;Aichach-Friedberg;3.040
Daxberg;Siedlung;Aschaffenburg;740
Deberndorf;Siedlung;Fürth;730
Dechantsees;Siedlung;Tirschenreuth;550
Dechsendorf;Siedlung;Erlangen;3.240
Degernbach;Siedlung;Rottal-Inn;570
Degerndorf;Siedlung;Bad Tölz-Wolfratshausen;520
Deggenau;Siedlung;Deggendorf;1.340
Deggendorf;Siedlung;Deggendorf;23.800
Deining;Siedlung;Neumarkt i.d. OPf.;1.530
Deining;Siedlung;Bad Tölz-Wolfratshausen;710
Deiningen;Siedlung;Donau-Ries;1.790
Deisenhausen;Siedlung;Günzburg;860
Deisenhofen;Siedlung;Dillingen a.d. Donau;590
Demling;Siedlung;Eichstätt;630
Denkendorf;Siedlung;Eichstätt;2.050
Denklingen;Siedlung;Landsberg am Lech;1.750
Dentlein a. Forst;Siedlung;Ansbach;830
Derching;Siedlung;Aichach-Friedberg;1.580
Dettelbach;Siedlung;Kitzingen;3.410
Dettenschwang;Siedlung;Landsberg am Lech;650
Deubach;Siedlung;Augsburg;900
Deuerling;Siedlung;Regensburg;1.330
Deuringen;Siedlung;Augsburg;1.440
Deutenhausen;Siedlung;Dachau;530
Dickenreishausen;Siedlung;Memmingen;770
Diebach;Siedlung;Bad Kissingen;1.060
Diedorf;Siedlung;Augsburg;5.720
Diendorf;Siedlung;Schwandorf;1.060
Diepersdorf;Siedlung;Nürnberger Land;2.160
Diespeck;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;2.580
Dießen am Ammersee;Siedlung;Landsberg am Lech;6.770
Dietenhofen;Siedlung;Ansbach;3.550
Dietersdorf;Siedlung;Schwabach;660
Dietersheim;Siedlung;Neustadt a.d. Aisch-Bad Windsheim;910
Dietersheim;Siedlung;Freising;1.460
Dieterskirchen;Siedlung;Schwandorf;570
Dietfurt a.d. Altmühl;Siedlung;Neumarkt i.d. OPf.;2.600
Dietmannsried;Siedlung;Oberallgäu;3.800
Dietramszell;Siedlung;Bad Tölz-Wolfratshausen;1.370
Dillingen a.d. Donau;Siedlung;Dillingen a.d. Donau;14.300
Dingolfing;Siedlung;Dingolfing-Landau;15.000
Dingolshausen;Siedlung;Schweinfurt;1.050
Dinkelsbühl;Siedlung;Ansbach;8.480
Dinkelscherben;Siedlung;Augsburg;3.290
Dipbach;Siedlung;Würzburg;590
Dirlewang;Siedlung;Unterallgäu;1.400
Dittelbrunn;Siedlung;Schweinfurt;3.540
Dittenheim;Siedlung;Weißenburg-Gunzenhausen;980
Döckingen;Siedlung;Weißenburg-Gunzenhausen;590
Döhlau;Siedlung;Hof;1.390
Dollnstein;Siedlung;Eichstätt;1.470
Dombühl;Siedlung;Ansbach;1.480
Donaualtheim;Siedlung;Dillingen a.d. Donau;720
Donaustauf;Siedlung;Regensburg;3.160
Donauwörth;Siedlung;Donau-Ries;10.200
Donnersdorf;Siedlung;Schweinfurt;960
Dorfbach;Siedlung;Passau;540
Dorfen;Siedlung;Erding;8.430
