Name;Status;Kreis;Einwohner
;;;Zensus
;;;09.05.11
Eimeldingen;Siedlung;Lörrach;2.400
Eisenbach (Hochschwarzwald);Siedlung;Breisgau-Hochschwarzwald;1.020
Eisenharz;Siedlung;Ravensburg;990
Eisental;Siedlung;Rastatt;2.000
Eisingen;Siedlung;Enzkreis;4.510
Eislingen/Fils;Siedlung;Göppingen;19.100
Elchesheim-Illingen;Siedlung;Rastatt;3.220
Elchingen;Siedlung;Ostalbkreis;1.450
Ellenberg;Siedlung;Ostalbkreis;1.000
Ellhofen;Siedlung;Heilbronn;3.300
Ellmendingen;Siedlung;Enzkreis;2.500
Ellwangen;Siedlung;Biberach;560
Ellwangen (Jagst);Siedlung;Ostalbkreis;13.400
Elpersheim;Siedlung;Main-Tauber-Kreis;800
Elsenz;Siedlung;Heilbronn;1.840
Elzach;Siedlung;Emmendingen;3.810
Emerkingen;Siedlung;Alb-Donau-Kreis;820
Emmendingen;Siedlung;Emmendingen;25.400
Emmingen;Siedlung;Calw;1.560
Emmingen (Emmingen ab Egg);Siedlung;Tuttlingen;2.750
Empfingen;Siedlung;Freudenstadt;3.270
Endingen am Kaiserstuhl;Siedlung;Emmendingen;6.350
Engelsbrand;Siedlung;Enzkreis;2.630
Engelswies;Siedlung;Sigmaringen;600
Engen;Siedlung;Konstanz;7.140
Engstingen;Siedlung;Reutlingen;4.350
